type,numNodessize,NumberOfWords,ID,Sentence,AccessControl,XiaoACP,ModelVerb,PassiveTo,AccessExpression,AbilityExpression,AccessControl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,2,5,328,3.2.16.1 Preconditions.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,7,14,329,The LHCP has authenticated himself or herself in the iTrust Medical Records system (UC3).,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,2,6,330,3.2.16.2 Main Flow.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,5,15,331,"Through the Personal Health Records page, an LHCP chooses a chronic disease and a patient.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,lhcp;choose;chronic disease,lhcp;choose;patient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,16,26,332,The data in the database is analyzed according to the risk factors for the disease to determine if the patient exhibits one or more risk factors.,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,;analyze;datum,;analyze;factor,;analyze;patient,;analyze;risk factor,;analyze;risk factor,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,11,18,333,Currently available risk factors for chronic diseases are defined for Diabetes (Type 1 and Type2) and Heart Disease.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,18,29,334,"When the chosen patient satisfies the preconditions of the chosen chronic disease , the LHCP is provided with a warning message if that patient exhibits three or more risk factors.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,lhcp;provide;warning message,lhcp;satisfy;patient,lhcp;satisfy;precondition,lhcp;satisfy;risk factor,lhcp;satisfy;chronic disease,lhcp;provide;patient,lhcp;provide;risk factor,,,,,,,,,,,,,,,,,,,,,,,,,
normal,7,11,335,The message will display the risk factors that the patients exhibit.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,;display;message,;display;risk factor,;display;patient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,2,6,336,3.2.16.3 Sub-flows.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,1,1,337,None.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,2,6,338,3.2.16.4 Alternate Flows.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,25,35,339,"The LHCP chooses to examine a patient for which the preconditions do not apply (e.g., an adult shouldn't be tested for child diabetes) and the LHCP is prompted that no analysis can occur.",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,lhcp;examine;patient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,2,5,340,3.2.16.5 Logging.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,5,11,341,3.2.17 UC17 Proactively Determine Needed Patient Care Use Case.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,2,5,342,3.2.17.1 Preconditions.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,7,14,343,The HCP has authenticated himself or herself in the iTrust Medical Records system (UC3).,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,2,6,344,3.2.17.2 Main Flow.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,21,33,345,"An HCP chooses Office Visit Reminders and then to identify chronic patients who need an office visit , older patients who need a flu shot , or any patient who is overdue for an immunization .",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,hcp;choose;office visit reminders,hcp;identify;chronic patient,hcp;identify;patient,hcp;identify;patient,hcp;identify;office visit,hcp;identify;flu shot,hcp;identify;immunization,,,,,,,,,,,,,,,,,,,,,,,,,
normal,17,26,346,The HCP is presented with a listing of patients for whom they are a DLHCP who need care because of satisfying the one of preceding conditions.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,hcp;present;listing,hcp;present;patient,hcp;present;dlhcp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,14,21,347,The presented patient information shall include each patient's name and home phone number so that reminder calls can be made.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,;include;patient information,;include;name,;include;home phone number,;include;patient,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,13,18,348,"The list is sorted based on the alphabetical order of the patients' last names, and then first names.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;sort;list,;sort;name,;sort;name,;sort;patient,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,2,6,349,3.2.17.3 Sub-flows.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,35,55,350,"An alive patient who has not had an office visit for more than one year and who has been diagnosed with diabetes mellitus (is diagnosed with ICD code beginning with 250), asthma (is diagnosed with ICD code beginning with 493), or circulatory-system disease (is diagnosed with an ICD code between 390 and 459 inclusive).",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,30,48,351,"An alive patient over 50 years old who has not had a flu shot (CPT codes 90656, 90658, 90660) during the months Sept - Dec of the last calendar year (or during the months Sept - Dec of the current calendar year if the retrieval time is between Sept - Dec).",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,9,18,352,An alive patient under the age of 19 who has not had proper immunizations per the immunization schedule.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,15,19,353,"The ""catch up schedule"" is relevant when the patient did not begin the immunizations according to the recommended schedule.",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,30,39,354,"Hepatitis B (90371) three doses: at birth, at age 1 month, at age 6 months; catch up schedule: at least 4 weeks between dose 1 and dose 2 and at least 8 weeks between dose 2 and dose 3.",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,32,40,355,"Rotavirus (90681) three doses: at age 6 weeks, at age 4 months, at age 6 months; catch up schedule: at least 4 weeks between dose 1 and dose 2 and at least 4 weeks between dose 2 and dose 3.",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,66,82,356,"Diphtheria, Tetanus, Pertussis (90696) six doses: at age 6 weeks, at age 4 months, at age 6 months, at age 15 months, at age 4 years, at age 11 years; catch up schedule: at least 4 weeks between dose 1 and dose 2, at least 4 weeks between dose 2 and dose 3, at least 6 months between doses 3 and 4, at least 6 months between dose 4 and dose 5, at least 5 years between dose 5 and dose 6.",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,71,90,357,"Haemophilus influenzae (90645) three doses: at 6 weeks, at age 4 months, at age 12 months; catch up schedule: at least 4 weeks between dose 1 and dose 2 and at least 4 weeks between dose 2 and dose 3 if first dose is administered at younger than 12 months; if first dose is administered between 12 and 14 months, at least 8 weeks between dose 1 and dose 2 and dose three is canceled; if first dose is administered at or after 15 months, only one dose is required.",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,83,105,358,"Pneumococcal (90669) four doses: at age 6 weeks, at age 4 months, at age 6 months, at age 12 months; catch up schedule: at least 4 weeks between dose 1 and dose 2 and at least 4 weeks between dose 2 and dose 3 and at least 8 weeks between dose 3 and dose 4 if first dose is administered at younger than 12 months; if first dose is administered between 12 and 14 months, at least 8 weeks between dose 1 and dose 2 and dose three is canceled; if first dose is administered at or after 15 months, only one dose is required.",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,54,67,359,"Poliovirus (90712) four doses: at age 6 weeks, at age 4 months, at age 6 months, 4 years; catch up schedule: at least 4 weeks between dose 1 and dose 2, at least 4 weeks between dose 2 and dose 3, at least 4 weeks between doses 3 and 4, dose 4 is not required if dose 3 was administered at the age of 4 or older.",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,23,27,360,"Measles, Mumps, Rubella (90707) two doses: at age 12 months, at age 4 years; catch up schedule: at least 4 weeks between dose 1 and dose 2.",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,21,25,361,"Varicella (90396) two doses: at age 12 months, at age 4 years; catch up schedule: at least 3 months between dose 1 and dose 2.",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,21,26,362,Hepatitis A (90633) two doses: at age 12 months; at age 18 months: catch up schedule: at least 6 months between dose 1 and dose 2.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,2,6,363,3.2.17.4 Alternate Flows.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,1,1,364,None.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,2,5,365,3.2.17.5 Logging.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,2,6,366,3.2.17.6 Reference Documents.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,2,5,367,* American Academy of Pediatrics.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,4,7,368,* Childhood schedule (birth to 6 years).,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,5,7,369,* Adolescent schedule (7 to 18 years).,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,1,3,370,* CPT Codes.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,4,10,371,3.2.18 UC18 Maintain a hospital listing Use Case.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,2,5,372,3.2.18.1 Preconditions.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,7,14,373,The administrator has authenticated himself or herself in the iTrust Medical Records system (UC3).,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,2,6,374,3.2.18.2 Main Flow.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,5,8,375,An administrator chooses to maintain the hospital listing .,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,administrator;maintain;hospital listing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,11,14,376,"(Note: A personnel may be assigned to more than one (UC 2, S1).)",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,2,6,377,3.2.18.3 Sub-flows.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,13,24,378,The administrator will store (1) hospital Id number for the hospital ; and (2) up to 30 alphanumeric characters giving the name of the hospital.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,administrator;store;hospital id number,administrator;store;name,administrator;store;hospital,administrator;store;hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,13,23,379,"The system shall enable the administrator to add a new entry for a hospital, or modify the hospital name in an existing entry.",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,administrator;add;entry,administrator;modify;hospital name,administrator;add;hospital,administrator;modify;entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,15,26,380,Note that the administrator is not allowed through the system interface to delete an existing entry or modify the hospital ID number in an existing entry.,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,administrator;delete;entry;NEG-not,administrator;modify;hospital id number;NEG-not,administrator;modify;entry;NEG-not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,2,6,381,3.2.18.4 Alternate Flows.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,9,13,382,The administrator types an invalid hospital ID and is prompted to try again.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,9,13,383,The administrator types an invalid hospital name and is prompted to try again.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,2,5,384,3.2.18.5 Logging.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,3,9,385,3.2.19 UC19 View prescription report Use Case.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,2,5,386,3.2.19.1 Preconditions.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,7,15,387,The iTrust user has authenticated himself or herself in the iTrust Medical Records system (UC3).,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,2,6,388,3.2.19.2 Main Flow.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,8,13,389,A patient or personal health representative  or LHCP  chooses to view prescription reports.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,patient;view;prescription,personal health representative;view;prescription,lhcp;view;prescription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,18,31,390,"If the LHCP is not one of the patient's DLHCP or the UAP associated with one of their DLHCP, a message is sent to the patient and their personal representative .",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,lhcp;send;patient,lhcp;send;message,lhcp;send;personal representative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,2,6,391,3.2.19.3 Sub-flows.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,25,40,392,The user (patient or personal health representative) can choose to view a list of their own prescriptions or  the prescriptions for whom the user is a person health representative by choosing one patient from a a list of these patients.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,user;view;list,user;view;prescription,user;view;representative,user;choose;patient,user;choose;list,user;choose;patient,patient;view;list,patient;view;prescription,patient;view;representative,patient;choose;patient,patient;choose;list,patient;choose;patient,personal health representative;view;list,personal health representative;view;prescription,personal health representative;view;representative,personal health representative;choose;patient,personal health representative;choose;list,personal health representative;choose;patient,,,,,,,,,,,,,,
normal,10,16,393,"A prescription list is then displayed , sorted by start date (the later date is ranked earlier).",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;sort;start date,;display;prescription list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,7,12,394,The user (LHCP) selects a patient from the list of requested reports.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,user;select;patient,lhcp;select;patient,user;select;list,lhcp;select;list,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,14,23,395,"At this point, the LHCP can view a prescription list for that patient , sorted by start date (the later date is ranked earlier).",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,lhcp;view;prescription list,lhcp;view;patient,lhcp;sort;start date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,4,9,396,The prescription report is titled with the patient name.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;title;patient name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,15,24,397,"The prescription list includes medication, date prescribed, start date, end date for each prescription, and the name of the doctor who prescribed the medication.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;include;name,;include;end date,;include;date,;include;medication,;include;prescription,;include;doctor,doctor;prescribe;medication,,,,,,,,,,,,,,,,,,,,,,,,,
title,2,6,398,3.2.19.4 Alternate Flows.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,9,14,399,The LHCP types an invalid medical identification number and is prompted to try again.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,6,8,400,The patient chosen is not the desired patient.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,10,13,401,The LHCP does not confirm the selection and is prompted to try again.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,2,5,402,3.2.19.5 Logging.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,4,11,403,3.2.21 UC21 View emergency electronic health record Use Case.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,2,5,404,3.2.21.1 Preconditions.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,9,18,405,The iTrust user (LHCP or ER) has authenticated himself or herself in the iTrust Medical Records system (UC3).,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,2,6,406,3.2.21.2 Main Flow.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,8,14,407,A LHCP or ER chooses to view an emergency report and provides an MID .,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,lhcp;view;emergency report,er;view;emergency report,lhcp;provide;mid,er;provide;mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,
list-start,9,15,408,"At this point, the LHCP obtains a printable report  containing vital information for the patient:",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,lhcp;obtain;report,lhcp;obtain;vital information,lhcp;obtain;patient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
list-member,10,2,409,* Name.,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,lhcp;obtain;report,lhcp;obtain contain;patient,lhcp;obtain;vital information,lhcp;obtain contain;name,,,,,,,,,,,,,,,,,,,,,,,,,,,,
list-member,10,2,410,* Age.,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,lhcp;obtain;report,lhcp;obtain contain;patient,lhcp;obtain contain;age,lhcp;obtain;vital information,,,,,,,,,,,,,,,,,,,,,,,,,,,,
list-member,10,2,411,* Gender.,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,lhcp;obtain;report,lhcp;obtain contain;vital information,lhcp;obtain contain;gender,lhcp;obtain contain;patient,,,,,,,,,,,,,,,,,,,,,,,,,,,,
list-member,13,7,412,* Emergency contact (name and phone number).,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,lhcp;obtain;report,lhcp;obtain contain;patient,lhcp;obtain contain;vital information,lhcp;obtain contain;emergency contact,,,,,,,,,,,,,,,,,,,,,,,,,,,,
list-member,10,2,413,* Allergies.,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,lhcp;obtain;report,lhcp;obtain contain;patient,lhcp;obtain contain;vital information,lhcp;obtain contain;allergy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
list-member,10,3,414,* Blood type.,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,lhcp;obtain;report,lhcp;obtain contain;patient,lhcp;obtain contain;vital information,lhcp;obtain contain;blood type,,,,,,,,,,,,,,,,,,,,,,,,,,,,
list-member,23,28,415,* A list of all diagnosis codes chronic or long-term diagnoses for the patient as well as all short term diagnoses made within the last 30 days.,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,lhcp;obtain;report,lhcp;obtain;list,lhcp;obtain contain;vital information,lhcp;obtain contain;patient,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,4,11,416,Display the ICD-9CM code and the name of the diagnoses.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;display;icd-9cm code,;display;name,;display;diagnosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,5,5,417,Sort by most recent first.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,20,30,418,* A list of all prescriptions the patient is likely to be currently taking as determined by the end date of the prescription has passed by 91 days or less.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;;list,;;prescription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,4,11,419,Display the National Drug Code and the name of the prescription.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;display;national drug code,;display;name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,5,5,420,Sort by most recent first.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,6,10,421,* A list of all immunizations the patient has had.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;;list,;;immunization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,4,10,422,Display the CPT Code and the name of the immunization.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;display;cpt code,;display;name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,5,5,423,Sort by most recent first.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,2,6,424,3.2.21.3 Sub-flows.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,6,11,425,The LHCP or ER enters a MID  and confirms the input .,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,2,6,426,3.2.21.4 Alternate Flows.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,9,14,427,The LHCP types an invalid medical identification number and is prompted to try again.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,6,8,428,The patient chosen is not the desired patient.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,11,15,429,The LHCP or ER does not confirm the selection and is prompted to try again.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,2,5,430,3.2.21.5 Logging.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,2,6,431,3.2.21.6 Reference document.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,7,23,432,The inclusion of the ER role was inspired by Department of Health and Human Services USA Emergency Responder Electronic Health Record Use Case.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,4,13,433,3.2.22 UC22 Flow of Events for the Schedule Appointments Use Case.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,2,5,434,3.2.22.1 Preconditions.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,11,20,435,"The iTrust user (patient, LHCP) or administrator has authenticated himself or herself in the iTrust Medical Records system (UC3),(UC2).",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,2,6,436,3.2.22.2 Main Flow.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,6,10,437,An administrator can manage a standardized list of appointment types .,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,administrator;manage;standardized list,administrator;manage;appointment type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,5,9,438,An LHCP can schedule an appointment with a patient .,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,lhcp;schedule;appointment,lhcp;schedule;patient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,7,11,439,A patient can request to schedule an appointment with an LHCP .,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,patient;schedule;appointment,patient;schedule;lhcp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,9,12,440,Both patients and LHCPs can view a list of their upcoming appointments .,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,patient;view;list,lhcp;view;list,patient;view;appointment,lhcp;view;appointment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,8,11,441,An LHCP can view a list of their upcoming appointment requests .,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,lhcp;view;list,lhcp;view;appointment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,5,7,442,LHCPs can edit or delete future appointments .,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,lhcp;edit;future appointment,lhcp;delete;future appointment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,9,16,443,The LHCP is notified if a new or edited appointment time conflicts with another existing appointment .,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,lhcp;notify;appointment,lhcp;notify;edited appointment time conflict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,2,6,444,3.2.22.3 Sub-flows.,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,25,42,445,"The system shall enable the administrator to (1) add a new entry for an appointment type, including its type name with up to 30 alpha characters and duration in the unit of minutes , and (2) modify the duration in an existing entry .",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,administrator;add;entry,administrator;modify;entry,administrator;modify;duration,administrator;add;type name,administrator;add;duration,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,11,16,446,A new entry shall not have the same type name as that of any existing entry .,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,15,26,447,Note that the administrator is not allowed through the system interface to delete an existing entry or modify the appointment type name in an existing entry.,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,administrator;delete;entry;NEG-not,administrator;modify;entry;NEG-not,administrator;delete;appointment type name;NEG-not,administrator;modify;appointment type name;NEG-not,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,21,36,448,The LHCP chooses to schedule an appointment with a patient (it is assumed that the LHCP and patient have already worked out the details of the appointment in person or via telephone outside of the system).,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,lhcp;schedule;appointment,lhcp;schedule;patient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,48,88,449,"The LHCP enters the patient MID , selects the type of appointment from a pull-down menu of the existing appointment types, enter the appointment date and start time (only a date or time equal or after the current date or time is allowed) (the user interface shall provide both the option of typing in a specific date in the date format and the option of selecting a date from a calendar for the current month), enter comment (optional) up to 1000 characters such as reason for the appointment .",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,lhcp;enter;mid,lhcp;select;type,lhcp;enter;appointment date,lhcp;enter;start time,lhcp;enter;comment,lhcp;select;appointment,lhcp;enter;patient,,,,,,,,,,,,,,,,,,,,,,,,,
normal,6,10,450,The Patient chooses to request an appointment with an LHCP.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,patient;request;appointment,patient;request;lhcp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,6,11,451,The patient selects an LHCP from his or her provider list.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,patient;select;lhcp,patient;select;provider list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,22,39,452,"The patient selects the type of appointment from a pull-down menu of the existing appointment types, enter the appointment date and start time (only a date or time equal or after the current date or time is allowed).",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,patient;select;type,patient;enter;appointment date,patient;enter;start time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,13,19,453,"If the requested appointment time does not conflict with any existing appointment for the LHCP, the request is saved.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;save;request,;conflict;appointment time,;conflict;appointment,;conflict;lhcp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,18,34,454,"If the requested appointment time does conflict with an existing appointments, the patient is presented with a list of the three next non-overlapping available appointment times within 7 days of the requested date.",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,patient;present;list,patient;present;appointment,patient;present;appointment time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,8,12,455,The patient selects one of these appointments and the request is saved.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,patient;select;one,patient;save;request,patient;select;appointment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normal,26,39,456,"A user (an LHCP or patient) wishes to view a list of his or her upcoming appointments (i.e., a list including appointments whose appointment date and start time is equal or later than the current date or time).",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,user;view;list,lhcp;view;list,patient;view;list,user;view;appointment,lhcp;view;appointment,patient;view;appointment,,,,,,,,,,,,,,,,,,,,,,,,,,
