type,numNodessize,NumberOfWords,ID,Sentence,AccessControl,XiaoACP,ModelVerb,PassiveTo,AccessExpression,AbilityExpression,AccessControl,,,,,,,,,,,,,,
normal,9,12,151,Both patients and LHCPs can view a list of their upcoming appointments.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,patient;view;list,lhcp;view;list,patient;view;appointment,lhcp;view;appointment,,,,,,,,,,,
normal,4,5,152,LHCP can edit future appointments.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,lhcp;edit;future appointment,,,,,,,,,,,,,,
normal,4,5,153,LHCP can delete future appointments.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,lhcp;delete;future appointment,,,,,,,,,,,,,,
normal,15,27,154,"The administrator adds a new entry for an appointment type, including its type name with up to 30 alpha characters and duration in the unit of minutes.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,administrator;add;entry,,,,,,,,,,,,,,
normal,5,9,155,The administrator modifies the duration in an existing entry.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,administrator;modify;duration,,,,,,,,,,,,,,
normal,11,16,156,A new entry shall not have the same type name as that of any existing entry.,FALSE,,,,,,,,,,,,,,,,,,,,
normal,8,10,157,The administrator is not allowed to delete an existing entry.,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,administrator;delete;entry;NEG-not,,,,,,,,,,,,,,
normal,9,15,158,The administrator is not allowed to modify the appointment type name in an existing entry.,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,administrator;modify;appointment type name;NEG-not,,,,,,,,,,,,,,
normal,4,8,159,The LHCP schedules an appointment with a patient.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,lhcp;schedule;appointment,lhcp;schedule;patient,,,,,,,,,,,,,
normal,23,40,160,"The LHCP enters the patient MID, selects the type of appointment from a pull-down menu of the existing appointment types, enters the appointment date and time, enters comment (optional) up to 1000 characters such as reason for the appointment.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,lhcp;enter;patient,lhcp;select;type,lhcp;enter;type,lhcp;enter;appointment date,lhcp;enter;time,lhcp;enter;comment,,,,,,,,,
normal,6,9,161,An LHCP views a list of his upcoming appointments.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,lhcp;view;list,lhcp;view;appointment,,,,,,,,,,,,,
normal,6,9,162,A patient views a list of his upcoming appointments.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,patient;view;list,patient;view;appointment,,,,,,,,,,,,,
normal,5,7,163,The user opens his upcoming appointment list.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,user;open;appointment list,,,,,,,,,,,,,,
normal,12,24,164,"Each row in the list includes the appointment type, appointment date and time, duration, and the name of either the patient or the LHCP.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;include;appointment date,;include;time,;include;duration,;include;name,;include;appointment type,;include;patient,;include;lhcp,,,,,,,,
normal,10,17,165,"The appointments in the list shall be ordered by appointment date and time, the soonest upcoming first.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,;order;appointment,;order;appointment date,,,,,,,,,,,,,
normal,7,10,166,The row for each conflicting appointment is highlighted in bold.,FALSE,,,,,,,,,,,,,,,,,,,,
normal,23,41,167,"When viewing the calendar, the user selects an appointment from the list to read comment by clicking the ""Read Comment"" link beside the row for the appointment, and then the comment for the appointment shall be displayed in a new page.",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,user;view;calendar,user;select;appointment,user;display;comment,user;select;list,user;read;comment,,,,,,,,,,
normal,14,20,168,"When an LHCP views a list of his upcoming appointments, system presents an option to edit or remove the appointment.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,lhcp;view;list,system;present;option,lhcp;view;appointment,lhcp;edit;appointment,lhcp;remove;appointment,,,,,,,,,,
normal,9,10,169,The LHCP is not able to edit any past appointments.,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,lhcp;edit;appointment;NEG-not,,,,,,,,,,,,,,
normal,9,10,170,The LHCP is not able to remove any past appointments.,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,lhcp;remove;appointment;NEG-not,,,,,,,,,,,,,,
title,3,7,171,UC23 View Comprehensive Patient Report Use Case,FALSE,,,,,,,,,,,,,,,,,,,,
normal,5,11,172,The LHCP requests a comprehensive patient report for a particular patient.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,lhcp;request;comprehensive patient report,lhcp;request;patient,,,,,,,,,,,,,
normal,6,10,173,The LHCP is able to view the comprehensive patient report.,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,lhcp;view;comprehensive patient report,,,,,,,,,,,,,,
normal,7,11,174,The LHCP enters a patient's MID and confirms his input.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,lhcp;enter;mid,,,,,,,,,,,,,,
normal,6,13,175,The LHCP can view of the comprehensive patient report for the specified patient,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,lhcp;view;comprehensive patient report,lhcp;view;patient,,,,,,,,,,,,,
title,3,6,176,UC24 Take Satisfaction Survey Use Case,FALSE,,,,,,,,,,,,,,,,,,,,
normal,10,18,177,A patient or personal representative can answer any of the following questions relative to a previous office visit.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,patient;answer;any,personal representative;answer;any,patient;answer;office visit,personal representative;answer;office visit,,,,,,,,,,,
normal,4,7,178,The answers to the survey are stored.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;store;answer,,,,,,,,,,,,,,
title,4,8,179,UC25 View Physician Satisfaction Survey Results Use Case,FALSE,,,,,,,,,,,,,,,,,,,,
normal,3,7,180,A user views physician satisfaction survey results.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,user;view;physician satisfaction survey result,,,,,,,,,,,,,,
normal,6,14,181,The user provides a zip code or a hospital code and an physician type.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,user;provide;zip code,user;provide;hospital code,user;provide;type,,,,,,,,,,,,
normal,6,10,182,The patient is provided with the name for each physician.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,patient;provide;name,,,,,,,,,,,,,,
title,3,9,183,UC26 View or Edit Laboratory Procedure Status Use Case,FALSE,,,,,,,,,,,,,,,,,,,,
normal,5,11,184,"A patient, personal health representative or HCP views laboratory procedure status.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,patient;view;laboratory procedure status,personal health representative;view;laboratory procedure status,hcp;view;laboratory procedure status,,,,,,,,,,,,
normal,3,6,185,A HCP edits a laboratory procedure.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,hcp;edit;laboratory procedure,,,,,,,,,,,,,,
normal,6,11,186,A message is sent to the patient and their personal representative.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;send;message,;send;patient,;send;personal representative,,,,,,,,,,,,
normal,15,26,187,The patient can view a list of laboratory procedures and status for their own records and the records for which the user is a personal representative.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,patient;view;list,patient;view;laboratory procedure,,,,,,,,,,,,,
normal,7,10,188,"The reports are viewed under the ""View My Records"" tab.",FALSE,,,,,,,,,,,,,,,,,,,,
normal,10,13,189,Only laboratory procedures for which the HCP has allowed viewing access are shown.,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,hcp;allow;access,;show;laboratory procedure,,,,,,,,,,,,,
normal,10,14,190,"The list is sorted by date of the last status update, most recent first.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;sort;list,;sort;date,,,,,,,,,,,,,
normal,7,12,191,The HCP enters a MID of a patient and confirms their input.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,hcp;enter;mid,,,,,,,,,,,,,,
normal,14,23,192,"The HCP can view a list of laboratory procedures and results, sorted by the date of the last status update, most recent first.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,hcp;view;list,hcp;sort;date,hcp;view;laboratory procedure,,,,,,,,,,,,
normal,7,10,193,The HCP can allow viewing access to the laboratory results.,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,hcp;allow;access,hcp;allow;laboratory result,,,,,,,,,,,,,
normal,7,10,194,The HCP can disallow viewing access to the laboratory results.,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,hcp;disallow;access,hcp;disallow;laboratory result,,,,,,,,,,,,,
normal,8,14,195,The HCP can edit the office visit in which the laboratory procedure was ordered.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,hcp;edit;office visit,hcp;edit;laboratory procedure,,,,,,,,,,,,,
normal,7,12,196,The HCP enters a MID of a patient and confirms their input.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,hcp;enter;mid,,,,,,,,,,,,,,
normal,9,16,197,The HCP can view a list of laboratory procedures and can update the status and comments.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,hcp;view;list,hcp;update;status,hcp;update;comment,hcp;view;laboratory procedure,,,,,,,,,,,
normal,7,12,198,The list is sorted by the dates of the last status update.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;sort;list,;sort;date,,,,,,,,,,,,,
normal,3,5,199,An email notification is sent.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;send;email notification,,,,,,,,,,,,,,
title,3,7,200,UC27 Alert Users by Email Use Case,FALSE,,,,,,,,,,,,,,,,,,,,
normal,14,27,201,"An email alert is sent out to the iTrust user in the event of a changed password, status change in laboratory procedure, comprehensive report requested and generated.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;send;email alert,;change;password,;status change;laboratory procedure,;generate;report,;request;report,,,,,,,,,,
title,3,3,202,UC28 View Patients,FALSE,,,,,,,,,,,,,,,,,,,,
normal,12,17,203,The LHCP views all patients with which he or she has ever had an office visit with.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,lhcp;have;office visit,lhcp;view;patient,,,,,,,,,,,,,
normal,10,14,204,"System presents the patient’s name, patient’s address, and patient’s date of last office visit.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,system;present;name,system;present;address,system;present;date,,,,,,,,,,,,
normal,6,12,205,The list is sorted by the date of the last office visit.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;sort;list,;sort;date,,,,,,,,,,,,,
title,5,8,206,UC29 Find LHCPs with Experience with a Diagnosis,FALSE,,,,,,,,,,,,,,,,,,,,
normal,8,10,207,A patient finds the LHCPs who have handled that condition.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,patient;find;lhcp,patient;find;condition,,,,,,,,,,,,,
normal,4,5,208,The patient chooses My Diagnoses.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,patient;choose;diagnosis,,,,,,,,,,,,,,
normal,12,16,209,"System presents a listing of all their own diagnoses, sorted by diagnosis date (more recent first).",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,system;present;listing,system;sort;diagnosis date,system;present;diagnosis,,,,,,,,,,,,
normal,4,6,210,The patient can select a diagnosis.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,patient;select;diagnosis,,,,,,,,,,,,,,
normal,19,30,211,System presents the LHCPs in the patient's living area (based upon the first three numbers of their zip code) who have handled this diagnosis in the last three years.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,system;present;lhcp,system;present;living area,system;present;diagnosis,,,,,,,,,,,,
normal,18,29,212,The list is ranked by the quantity of patients the LHCP has treated for that diagnosis (each patient is only counted once regardless of the number of office visits).,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;rank;list,;rank;quantity,;rank;count,,,,,,,,,,,,
title,3,6,213,UC30 Messaging Between LHCP and Patient,FALSE,,,,,,,,,,,,,,,,,,,,
normal,6,13,214,An LHCP sends a message to a patient or the patient’s personal representative.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,lhcp;send;message,lhcp;send;patient,lhcp;send;personal representative,,,,,,,,,,,,
normal,13,24,215,A patient's personal representative or a patient or personal representative sends a message to DLHCP or that of a person they are representing.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,patient;send;message,representative;send;message,personal representative;send;message,personal representative;send;dlhcp,patient;send;dlhcp,representative;send;dlhcp,,,,,,,,,
normal,6,8,216,"LHCPs, patients and representatives may reply to messages.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,lhcp;reply;message,patient;reply;message,representative;reply;message,,,,,,,,,,,,
normal,6,9,217,"An LHCP, patient and representative may view a message.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,lhcp;view;message,patient;view;message,representative;view;message,,,,,,,,,,,,
normal,8,13,218,"An LHCP, patient and representative can sort his message inbox and message outbox.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,lhcp;sort;message inbox,lhcp;sort;message outbox,patient;sort;message inbox,patient;sort;message outbox,representative;sort;message inbox,representative;sort;message outbox,,,,,,,,,
normal,10,13,219,"An LHCP, patient and representative can modify and save his message displaying filter.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,lhcp;modify;filter,patient;modify;filter,representative;modify;filter,lhcp;save;filter,patient;save;filter,representative;save;filter,,,,,,,,,
normal,4,6,220,An LHCP views his message inbox.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,lhcp;view;message inbox,,,,,,,,,,,,,,
normal,7,14,221,A patient or personal representative for a patient sends a message to an LHCP.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,representative;send;message,patient;send;message,representative;send;lhcp,patient;send;lhcp,,,,,,,,,,,
normal,4,6,222,System presents a menu of DLHCP.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,system;present;menu,,,,,,,,,,,,,,
normal,6,9,223,The patient or representative chooses one of these DLHCP.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,patient;choose;one,representative;choose;one,,,,,,,,,,,,,
normal,5,11,224,The patient types the subject and the text of a message.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,patient;type;subject,patient;type;text,,,,,,,,,,,,,
normal,5,11,225,The representative types the subject and the text of a message.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,representative;type;subject,representative;type;text,,,,,,,,,,,,,
normal,3,6,226,The patient clicks the send button.,FALSE,,,,,,,,,,,,,,,,,,,,
normal,3,6,227,The representative clicks the send button.,FALSE,,,,,,,,,,,,,,,,,,,,
normal,17,31,228,"A row for showing the message subject, the name of the recipient, and the timestamp (which includes both date and time) is then visible in the patient or representative’s message outbox.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,patient;visible;message subject,patient;visible;name,patient;visible;timestamp,representative;visible;message subject,representative;visible;name,representative;visible;timestamp,patient;visible;row,representative;visible;row,patient;visible;message outbox,representative;visible;message outbox,,,,,
normal,11,24,229,"A bolded row for showing the message subject, the name of sender, and the timestamp is then visible in the LHCP's message inbox.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,lhcp;visible;message subject,lhcp;visible;name,lhcp;visible;timestamp,lhcp;visible;message inbox,,,,,,,,,,,
normal,11,17,230,A fake email is sent to the LHCP alerting the user that a new message has arrived.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;send;fake email,;send;lhcp,,,,,,,,,,,,,
normal,10,16,231,"After a message is sent, the patient or personal representative is directed to his message outbox.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,patient;direct;message outbox,personal representative;direct;message outbox,;send;message,,,,,,,,,,,,
normal,11,18,232,An LHCP sends a message to a patient or representative (no multiple recipients allowed in a single message).,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,lhcp;send;message,lhcp;send;patient,lhcp;send;representative,,,,,,,,,,,,
normal,4,7,233,The LHCP enters the patient's MID.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,lhcp;enter;mid,,,,,,,,,,,,,,
normal,4,7,234,The LHCP confirms the patient's MID.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,lhcp;confirm;mid,,,,,,,,,,,,,,
normal,4,7,235,The LHCP enters the representative's MID.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,lhcp;enter;mid,,,,,,,,,,,,,,
normal,4,7,236,The LHCP confirms the representative's MID.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,lhcp;confirm;mid,,,,,,,,,,,,,,
normal,14,24,237,"The LHCP types the subject (up to 100 characters) and the text of a message (up to 1000 characters), and clicks the send button.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,lhcp;type;subject,lhcp;type;text,lhcp;click;send button,,,,,,,,,,,,
normal,11,23,238,"A row for showing the message subject, the name of the recipient, and the timestamp is then visible in the LHCP’s message outbox.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,lhcp;visible;row,lhcp;visible;message outbox,lhcp;visible;message subject,lhcp;visible;name,lhcp;visible;timestamp,,,,,,,,,,
normal,26,50,239,"A bolded row for showing the message subject, the name of the sender, and the timestamp is then visible in the patient or representative’s message inbox, and a fake email is sent to the patient or representative that indicates that he or she has a new message from an LHCP.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,patient;visible;name,patient;visible;timestamp,representative;visible;message subject,representative;visible;name,representative;visible;timestamp,patient;visible;message subject,;send;fake email,;send;patient,;send;representative,,,,,,
normal,9,13,240,"After a message is sent, the LHCP is directed to his message outbox.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,lhcp;direct;message outbox,lhcp;send;message,,,,,,,,,,,,,
normal,4,6,241,The patient views his message inbox.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,patient;view;message inbox,,,,,,,,,,,,,,
normal,4,6,242,The representative views his message inbox.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,representative;view;message inbox,,,,,,,,,,,,,,
normal,13,23,243,"The patient opens the message to which he or she wishes to reply, and then clicks the reply link above the message text.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,patient;open;message,,,,,,,,,,,,,,
normal,13,23,244,"The representative opens the message to which he or she wishes to reply, and then clicks the reply link above the message text.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,representative;open;message,,,,,,,,,,,,,,
normal,10,18,245,"The patient enters the text of the response message (up to 1000 characters), then clicks the send button.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,patient;enter;text,patient;click;send button,,,,,,,,,,,,,
normal,10,18,246,"The representative enters the text of the response message (up to 1000 characters), then clicks the send button.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,representative;enter;text,representative;click;send button,,,,,,,,,,,,,
normal,15,29,247,"A row for showing the message subject (now preceded by ""RE:""), the name of the recipient, and the timestamp is then visible in the patient or representative’s message outbox.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,patient;visible;row,representative;visible;row,patient;visible;message outbox,representative;visible;message outbox,patient;visible;message subject,patient;visible;name,patient;visible;timestamp,representative;visible;message subject,representative;visible;name,representative;visible;timestamp,,,,,
normal,14,27,248,"A bolded row for showing the message subject (now preceded by ""RE:""), the name of the sender, and timestamp is then visible in the LHCP’s message inbox.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,lhcp;visible;message subject,lhcp;visible;name,lhcp;visible;timestamp,lhcp;visible;message inbox,,,,,,,,,,,
normal,11,18,249,A fake email is sent to the LHCP alerting the LHCP that a new message reply has arrived.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;send;fake email,;send;lhcp,,,,,,,,,,,,,
normal,4,6,250,The LHCP views his message inbox.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,lhcp;view;message inbox,,,,,,,,,,,,,,
normal,9,13,251,The LHCP opens the message to which he or she wishes to reply.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,lhcp;open;message,,,,,,,,,,,,,,
normal,4,10,252,The LHCP clicks the reply link above the message text.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,lhcp;click;reply link,,,,,,,,,,,,,,
normal,10,18,253,"The LHCP enters the text of the response message (up to 1000 characters), then clicks the send button.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,lhcp;send button;,lhcp;enter;text,,,,,,,,,,,,,
normal,14,27,254,"A row for showing the message subject (now preceded by ""RE:""), the name of the recipient, and the timestamp are then visible in the LHCP’s message outbox.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,lhcp;visible;message subject,lhcp;visible;name,lhcp;visible;timestamp,lhcp;visible;row,lhcp;visible;message outbox,,,,,,,,,,
normal,14,26,255,"A bolded row for showing the message subject (now preceded by ""RE:""), the name of sender, and timestamp are then visible in the patient’s message inbox.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,patient;visible;message subject,patient;visible;name,patient;visible;timestamp,,,,,,,,,,,,
normal,11,18,256,A fake email is sent to the patient alerting the patient that a new message reply has arrived.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;send;fake email,;send;patient,,,,,,,,,,,,,
normal,8,12,257,"A patient, patient representative or LHCP opens his message inbox or outbox.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,patient;open;message inbox,patient;open;outbox,representative;open;message inbox,representative;open;outbox,patient;open;message inbox,patient;open;outbox,,,,,,,,,
normal,17,34,258,"Each row in the message inbox or outbox includes the message subject, the name of either the sender (only for the case of inbox) or recipient (only for the case of outbox), and timestamp.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;include;message subject,;include;name,;include;timestamp,,,,,,,,,,,,
normal,10,17,259,"By default, the messages in the message inbox should be ordered by timestamp, the most recent first.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,;order;message,;order;timestamp,,,,,,,,,,,,,
normal,6,12,260,Each row for an unread message in the message inbox is bolded.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;bold;unread message,;bold;message inbox,,,,,,,,,,,,,
normal,26,52,261,"The user selects a message from the message inbox or outbox to read by clicking the ""Read"" link beside the row for the message, and then the message subject, the name of the sender, the name of the the recipient, timestamp, and the message text shall be displayed in a new page.",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,user;select;message,user;select;message inbox,user;display;subject,user;display;name,user;display;name,user;display;timestamp,user;display;recipient,user;display;message,,,,,,,
normal,16,29,262,"After a message in the message inbox is read (i.e., displayed in a new page), the row for the message in the message inbox is not bolded anymore.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;read;message,;read;message inbox,,,,,,,,,,,,,
normal,29,42,263,"A patient, patient representative, or LHCP can sort messages in his message inbox by either the sender's last name or timestamp (but not both) in either ascending or descending order (where timestamps in descending order would have the most recent first).",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,patient;sort;name,patient;sort;timestamp,patient;sort;message,patient;sort;message inbox,patient representative;sort;message inbox,patient representative;sort;message,patient representative;sort;name,patient representative;sort;timestamp,lhcp;sort;message inbox,lhcp;sort;message,lhcp;sort;name,lhcp;sort;timestamp,,,
normal,18,30,264,"A patient, patient representative, or LHCP can sort messages in his message outbox by the recipient's last name or timestamp (but not both) in either ascending or descending order.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,patient;sort;message,patient;sort;message outbox,patient;sort;name,patient;sort;timestamp,patient representative;sort;message,patient representative;sort;message outbox,patient representative;sort;name,patient representative;sort;timestamp,lhcp;sort;message,lhcp;sort;message outbox,lhcp;sort;name,lhcp;sort;timestamp,,,
normal,14,26,265,"A patient, patient representative, or LHCP selects one option out of the ""Sort by"" labeled drop-down box (with options of ""Sender or Recipient"" or ""Timestamp"").",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,patient;select;option,patient representative;select;option,lhcp;select;option,,,,,,,,,,,,
normal,15,25,266,"A patient, patient representative, or LHCP selects one option out of the ""by order of"" labeled drop-down box (with options of ""ascending"" or ""descending"").",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,patient;select;option,patient representative;select;option,lhcp;select;option,,,,,,,,,,,,
normal,6,11,267,"A patient, patient representative, or LHCP then clicks the ""Sort"" button.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,patient;click;sort button,patient representative;click;sort button,lhcp;click;sort button,,,,,,,,,,,,
normal,18,24,268,"Sorted order is not saved for later viewing, after the message inbox or outbox is reopened again (where the default sorting is always used).",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,;reopen;message inbox,;reopen;outbox,,,,,,,,,,,,,
normal,11,15,269,"An LHCP, patient or representative can modify his ""messagedisplayingfilter"" by modifying the following filtering criteria.",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,lhcp;modify;messagedisplayingfilter,patient;modify;messagedisplayingfilter,representative;modify;messagedisplayingfilter,,,,,,,,,,,,
normal,36,45,270,"A single filter includes values for these five filtering criteria (rather than five filters for these five filtering criteria) and a value could be an empty string, indicating that this criterion has no impact on filtering (i.e., imposing no constraints related to this criterion).",FALSE,,,,,,,,,,,,,,,,,,,,
normal,11,19,271,The user interface shall be initially populated with the values of the filtering criteria from the previously saved filter.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,;populate;value,,,,,,,,,,,,,,
normal,18,36,272,"The LHCP, the patient or the representative clicks the ""Cancel"" button to cancel the modifications of the filter (i.e., repopulate the user interface with the values of the filtering criteria from the previously saved filter).",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,lhcp;click;cancel button,patient;click;cancel button,representative;click;cancel button,,,,,,,,,,,,
normal,18,29,273,"The LHCP, the patient or the representative clicks the ""Test Search"" button to search (i.e., displaying the message inbox including only the messages satisfying the specified filtering criteria).",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,lhcp;click display;message inbox,patient;click display;message inbox,representative;click display;message inbox,lhcp;click;button,patient;click;button,representative;click;button,,,,,,,,,
normal,10,16,274,"The LHCP, the patient or the representative clicks the ""Save"" button to save the modified filter.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,lhcp;save;filter,patient;save;filter,representative;save;filter,,,,,,,,,,,,
normal,15,19,275,Each user is associated with only one filter (being saved across login sessions) and applies only this saved filter.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,user;associate apply;filter,,,,,,,,,,,,,,
normal,13,19,276,The user's associated filter initially has all empty inputs for the filtering criteria before the user modifies it.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,user;modify;it,,,,,,,,,,,,,,
title,4,8,277,UC31 Find LHCPs for Prescription Renewal Use Case,FALSE,,,,,,,,,,,,,,,,,,,,
normal,40,55,278,"A patient renews the patient's expired prescriptions (i.e., prescriptions' end dates are earlier than the current date) and therefore finds the LHCPs who earlier wrote the patient's expired prescriptions (it is assumed that the doctors who wrote prescriptions are all LHCPs so no LHCP checks on the prescription-writing doctors are needed).",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,patient;renew;prescription,patient;find;lhcp,doctor;write;lhcp,,,,,,,,,,,,
normal,3,5,279,The patient chooses prescription report.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,patient;choose;prescription report,,,,,,,,,,,,,,
normal,14,24,280,"System presents a list of the patient's expired prescriptions, sorted by start date (the later date is ranked earlier closer to the top).",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,system;present;list,system;sort;start date,system;present;prescription,,,,,,,,,,,,
normal,9,16,281,The patient can view contact information of a selected LHCP shown in the expired prescription list.,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,patient;view;contact information,patient;view;lhcp,patient;view show;prescription list,,,,,,,,,,,,
title,5,7,282,UC33 Refer and Provide Consultations Use Case,FALSE,,,,,,,,,,,,,,,,,,,,
normal,6,9,283,A LHCP refers a patient to another receiving LHCP.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,lhcp;refer;patient,lhcp;refer;lhcp,,,,,,,,,,,,,
normal,3,4,284,A HCP reviews consultations.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,hcp;review;consultation,,,,,,,,,,,,,,
normal,3,5,285,A LHCP reviews the consultation.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,lhcp;review;consultation,,,,,,,,,,,,,,
